track,channel,type,note,velocity,time
1,0,note_on,76,69,10
1,0,note_on,52,57,10
1,0,note_on,64,52,546
1,0,note_off,52,0,576
1,0,note_off,76,0,1053
1,0,note_on,71,65,1054
1,0,note_on,52,53,1054
1,0,note_off,64,0,1084
1,0,note_off,71,0,1528
1,0,note_on,72,64,1559
1,0,note_on,64,52,1559
1,0,note_off,52,0,1589
1,0,note_off,72,0,2038
1,0,note_on,74,67,2069
1,0,note_on,52,55,2069
1,0,note_off,64,0,2099
1,0,note_on,64,52,2579
1,0,note_off,52,0,2609
1,0,note_off,74,0,3083
1,0,note_on,72,65,3084
1,0,note_on,52,53,3084
1,0,note_off,64,0,3114
1,0,note_off,72,0,3558
1,0,note_on,71,64,3589
1,0,note_on,64,52,3589
1,0,note_off,52,0,3619
1,0,note_off,71,0,4065
1,0,note_on,69,69,4100
1,0,note_on,45,57,4100
1,0,note_off,64,0,4126
1,0,note_on,57,52,4642
1,0,note_off,45,0,4672
1,0,note_off,69,0,5149
1,0,note_on,69,65,5150
1,0,note_on,45,53,5150
1,0,note_off,57,0,5180
1,0,note_off,69,0,5624
1,0,note_on,72,64,5655
1,0,note_on,57,52,5655
1,0,note_off,45,0,5685
1,0,note_off,72,0,6134
1,0,note_on,76,67,6165
1,0,note_on,45,55,6165
1,0,note_off,57,0,6195
1,0,note_on,57,52,6675
1,0,note_off,45,0,6705
1,0,note_off,76,0,7179
1,0,note_on,74,65,7180
1,0,note_on,45,53,7180
1,0,note_off,57,0,7210
1,0,note_off,74,0,7654
1,0,note_on,72,64,7685
1,0,note_on,57,52,7685
1,0,note_off,45,0,7715
1,0,note_off,72,0,8161
1,0,note_on,71,69,8196
1,0,note_on,44,57,8196
1,0,note_off,57,0,8222
1,0,note_on,56,52,8738
1,0,note_off,44,0,8768
1,0,note_off,71,0,9245
1,0,note_on,71,65,9246
1,0,note_on,44,53,9246
1,0,note_off,56,0,9276
1,0,note_off,71,0,9720
1,0,note_on,72,64,9751
1,0,note_on,56,52,9751
1,0,note_off,44,0,9781
1,0,note_off,72,0,10230
1,0,note_on,74,67,10261
1,0,note_on,44,55,10261
1,0,note_off,56,0,10291
1,0,note_on,56,52,10771
1,0,note_off,44,0,10801
1,0,note_off,74,0,11275
1,0,note_on,76,65,11276
1,0,note_on,44,53,11276
1,0,note_off,56,0,11306
1,0,note_on,56,52,11781
1,0,note_off,44,0,11811
1,0,note_off,76,0,12287
1,0,note_on,72,69,12292
1,0,note_on,45,57,12292
1,0,note_off,56,0,12318
1,0,note_on,57,52,12834
1,0,note_off,45,0,12864
1,0,note_off,72,0,13341
1,0,note_on,69,65,13342
1,0,note_on,45,53,13342
1,0,note_off,57,0,13372
1,0,note_on,57,52,13847
1,0,note_off,45,0,13877
1,0,note_off,69,0,14356
1,0,note_on,69,67,14357
1,0,note_on,45,55,14357
1,0,note_off,57,0,14387
1,0,note_on,57,52,14867
1,0,note_off,45,0,14897
1,0,note_off,69,0,15371
1,0,note_on,47,45,15372
1,0,note_on,59,59,15372
1,0,note_off,57,0,15402
1,0,note_off,59,0,15814
1,0,note_on,48,44,15877
1,0,note_on,60,58,15877
1,0,note_off,47,0,15907
1,0,note_off,60,0,16321
1,0,note_on,50,57,16388
1,0,note_off,48,0,16414
1,0,note_on,62,52,16930
1,0,note_off,50,0,16960
1,0,note_on,74,65,17438
1,0,note_on,50,53,17438
1,0,note_off,62,0,17468
1,0,note_on,62,52,17943
1,0,note_off,50,0,17973
